14443	14443
14445	14445
14446	14446
14447	14447
14449	14449
14450	14450
14456	14456
14457	14457
14459	14459
14463	14463
14465	14465
14470	14470
14474	14474
14477	14477
14478	14478
14480	14480
14481	14481
14482	14482
14483	14483
14484	14484
14487	14487
14487	13190
14487	59586
14487	80680
14489	14489
14490	14490
14981	14981
14982	14982
14985	14985
14986	14986
14987	14987
14988	14988
14989	14989
14990	14990
14992	14992
14993	14993
14994	14994
14996	14996
14998	14998
15001	15001
15002	15002
15006	15006
15007	15007
15008	15008
15009	15009
15010	15010
15011	15011
15013	15013
15013	17494
15013	62804
15013	81509
15015	15015
15017	15017
15018	15018
15021	15021
15022	15022
15022	56986
15022	74647
15022	20191
15022	61989
15022	68187
15022	69153
15022	84527
15022	79312
15023	15023
15025	15025
15030	15030
15031	15031
15032	15032
15036	15036
15037	15037
15038	15038
15039	15039
15039	9874
15039	21059
15040	15040
15044	15044
15048	15048
15050	15050
15052	15052
15053	15053
15055	15055
15057	15057
15058	15058
15068	15068
15068	23097
15068	41760
15068	81176
15071	15071
15072	15072
15075	15075
15076	15076
15077	15077
15078	15078
15079	15079
15081	15081
15084	15084
15084	9214
15086	15086
15087	15087
15088	15088
15090	15090
15091	15091
15092	15092
15093	15093
15094	15094
15095	15095
15720	15720
15722	15722
15723	15723
15726	15726
15727	15727
15730	15730
15732	15732
15734	15734
15735	15735
15738	15738
15739	15739
15740	15740
15750	15750
15751	15751
15751	59959
15751	63477
15751	64325
15751	78689
15752	15752
15756	15756
15757	15757
15758	15758
15760	15760
15760	28154
15760	59807
15760	67299
15761	15761
15762	15762
15763	15763
15765	15765
15766	15766
15768	15768
15769	15769
15769	83551
15772	15772
15776	15776
15777	15777
15778	15778
15780	15780
15780	78377
15780	73862
15780	18627
15780	44736
15781	15781
15784	15784
15785	15785
15785	5559
15789	15789
15790	15790
15791	15791
15792	15792
15793	15793
15794	15794
15795	15795
15796	15796
15796	5310
15796	10317
15796	11689
15796	17475
15796	18479
15796	27563
15796	30676
15796	33684
15796	35659
15796	36856
15796	42099
15796	50028
15796	65781
15796	76028
15796	85603
15797	15797
15798	15798
15799	15799
15800	15800
15801	15801
15802	15802
15803	15803
15806	15806
15807	15807
15815	15815
15815	6336
15815	48138
15815	56167
15815	84394
15818	15818
15819	15819
15820	15820
15822	15822
15823	15823
15824	15824
15825	15825
15828	15828
15832	15832
15834	15834
15835	15835
15836	15836
15840	15840
15841	15841
15844	15844
15845	15845
16718	16718
16721	16721
16722	16722
16723	16723
16724	16724
16727	16727
16730	16730
16732	16732
16733	16733
16733	48609
16733	64109
16734	16734
16734	38081
16735	16735
16736	16736
16737	16737
16738	16738
16740	16740
16741	16741
16745	16745
16749	16749
16751	16751
16752	16752
16753	16753
16755	16755
16761	16761
16762	16762
16763	16763
16764	16764
16764	30155
16765	16765
16766	16766
16767	16767
16768	16768
16769	16769
16772	16772
16773	16773
16774	16774
16776	16776
16779	16779
16780	16780
16781	16781
16783	16783
16783	59895
16785	16785
16786	16786
16787	16787
16790	16790
16792	16792
16794	16794
16795	16795
16796	16796
16797	16797
16797	6097
16797	21940
16797	59131
16797	77076
16798	16798
16799	16799
16800	16800
16804	16804
16806	16806
16809	16809
16810	16810
16812	16812
16815	16815
16815	65101
16815	51456
16816	16816
16817	16817
16818	16818
16818	13055
16818	21516
16818	29331
16819	16819
16821	16821
16822	16822
16823	16823
16824	16824
16826	16826
16827	16827
16828	16828
16830	16830
16831	16831
16832	16832
18602	18602
18603	18603
18605	18605
18606	18606
18607	18607
18608	18608
18610	18610
18610	58466
18611	18611
18613	18613
18616	18616
18616	33049
18616	42231
18616	64435
18618	18618
18622	18622
18624	18624
18626	18626
18626	63604
18626	71041
18629	18629
18629	20263
18629	31539
18629	38593
18629	81933
18632	18632
18633	18633
18635	18635
18638	18638
18639	18639
18639	20230
18639	28215
18639	33812
18640	18640
18641	18641
18645	18645
18646	18646
18651	18651
18651	18441
18652	18652
18654	18654
18655	18655
18656	18656
18660	18660
18661	18661
18661	22649
18661	76573
18664	18664
18666	18666
18668	18668
18670	18670
18673	18673
18673	51678
18675	18675
18676	18676
18676	20069
18678	18678
18680	18680
18680	9666
18680	56841
18682	18682
18682	17960
18686	18686
18687	18687
18688	18688
18691	18691
18692	18692
18694	18694
18694	76175
18696	18696
18697	18697
18699	18699
18701	18701
18702	18702
18704	18704
18705	18705
18706	18706
18706	3469
18707	18707
18709	18709
18709	29581
18709	37044
18709	40160
18709	42277
18709	57664
18709	67634
18709	67919
18709	72007
18709	72763
18709	79551
18710	18710
18713	18713
18714	18714
18715	18715
18715	10031
18719	18719
19457	19457
19458	19458
